subj	cond	item	value	region	Xstart	Xend	Ystart	Yend	fixationtype	order	questionRT	questionAcc
013	24	91	489	1	0	19	0	0	rp	181	NA	NA
013	24	91	0	1	0	19	0	0	pr	181	NA	NA
013	24	91	1104	1	0	19	0	0	rr	181	NA	NA
013	24	91	1593	1	0	19	0	0	tt	181	NA	NA
013	24	91	286	2	19	26	0	0	ff	181	NA	NA
013	24	91	286	2	19	26	0	0	fp	181	NA	NA
013	24	91	286	2	19	26	0	0	rp	181	NA	NA
013	24	91	0	2	19	26	0	0	pr	181	NA	NA
013	24	91	236	2	19	26	0	0	rr	181	NA	NA
013	24	91	522	2	19	26	0	0	tt	181	NA	NA
013	24	91	198	3	26	56	0	0	ff	181	NA	NA
013	24	91	758	3	26	56	0	0	fp	181	NA	NA
013	24	91	3558	3	26	56	0	0	rp	181	NA	NA
013	24	91	1	3	26	56	0	0	pr	181	NA	NA
013	24	91	1262	3	26	56	0	0	rr	181	NA	NA
013	24	91	2020	3	26	56	0	0	tt	181	NA	NA
013	24	87	246	1	0	17	0	0	ff	197	NA	NA
013	24	87	246	1	0	17	0	0	fp	197	NA	NA
013	24	87	246	1	0	17	0	0	rp	197	NA	NA
013	24	87	0	1	0	17	0	0	pr	197	NA	NA
013	24	87	0	1	0	17	0	0	rr	197	NA	NA
013	24	87	246	1	0	17	0	0	tt	197	NA	NA
013	24	87	420	2	17	24	0	0	ff	197	NA	NA
013	24	87	420	2	17	24	0	0	fp	197	NA	NA
013	24	87	420	2	17	24	0	0	rp	197	NA	NA
013	24	87	0	2	17	24	0	0	pr	197	NA	NA
013	24	87	0	2	17	24	0	0	rr	197	NA	NA
013	24	87	420	2	17	24	0	0	tt	197	NA	NA
013	24	87	186	3	24	44	0	0	ff	197	NA	NA
013	24	87	354	3	24	44	0	0	fp	197	NA	NA
013	24	87	354	3	24	44	0	0	rp	197	NA	NA
013	24	87	0	3	24	44	0	0	pr	197	NA	NA
013	24	87	0	3	24	44	0	0	rr	197	NA	NA
013	24	87	354	3	24	44	0	0	tt	197	NA	NA
013	24	83	686	1	0	13	0	0	ff	199	NA	NA
013	24	83	924	1	0	13	0	0	fp	199	NA	NA
013	24	83	924	1	0	13	0	0	rp	199	NA	NA
013	24	83	0	1	0	13	0	0	pr	199	NA	NA
013	24	83	242	1	0	13	0	0	rr	199	NA	NA
013	24	83	1166	1	0	13	0	0	tt	199	NA	NA
013	24	83	350	2	13	19	0	0	ff	199	NA	NA
013	24	83	350	2	13	19	0	0	fp	199	NA	NA
013	24	83	350	2	13	19	0	0	rp	199	NA	NA
013	24	83	0	2	13	19	0	0	pr	199	NA	NA
013	24	83	0	2	13	19	0	0	rr	199	NA	NA
013	24	83	350	2	13	19	0	0	tt	199	NA	NA
013	24	83	270	3	19	42	0	0	ff	199	NA	NA
013	24	83	302	3	19	42	0	0	fp	199	NA	NA
013	24	83	780	3	19	42	0	0	rp	199	NA	NA
013	24	83	1	3	19	42	0	0	pr	199	NA	NA
013	24	83	236	3	19	42	0	0	rr	199	NA	NA
013	24	83	538	3	19	42	0	0	tt	199	NA	NA
013	23	94	46	1	0	20	0	0	ff	205	NA	NA
013	23	94	388	1	0	20	0	0	fp	205	NA	NA
013	23	94	388	1	0	20	0	0	rp	205	NA	NA
013	23	94	0	1	0	20	0	0	pr	205	NA	NA
013	23	94	1346	1	0	20	0	0	rr	205	NA	NA
013	23	94	1734	1	0	20	0	0	tt	205	NA	NA
013	23	94	162	2	20	27	0	0	ff	205	NA	NA
013	23	94	162	2	20	27	0	0	fp	205	NA	NA
013	23	94	162	2	20	27	0	0	rp	205	NA	NA
013	23	94	0	2	20	27	0	0	pr	205	NA	NA
013	23	94	238	2	20	27	0	0	rr	205	NA	NA
013	23	94	400	2	20	27	0	0	tt	205	NA	NA
013	23	94	216	3	27	55	0	0	ff	205	NA	NA
013	23	94	818	3	27	55	0	0	fp	205	NA	NA
013	23	94	4904	3	27	55	0	0	rp	205	NA	NA
013	23	94	1	3	27	55	0	0	pr	205	NA	NA
013	23	94	2360	3	27	55	0	0	rr	205	NA	NA
013	23	94	3178	3	27	55	0	0	tt	205	NA	NA
013	24	75	234	1	0	16	0	0	ff	207	NA	NA
013	24	75	234	1	0	16	0	0	fp	207	NA	NA
013	24	75	234	1	0	16	0	0	rp	207	NA	NA
013	24	75	0	1	0	16	0	0	pr	207	NA	NA
013	24	75	0	1	0	16	0	0	rr	207	NA	NA
013	24	75	234	1	0	16	0	0	tt	207	NA	NA
013	24	75	202	2	16	22	0	0	ff	207	NA	NA
013	24	75	202	2	16	22	0	0	fp	207	NA	NA
